,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
600564,11722476,Adam Hiorths Vei,Adam Hiorths Vei,Adam Hiorths Vei,59.92533,10.78399,R,ST,NO,,12.0,301.0,,,0,,95,Europe/Oslo,2018-05-11
187632,9296673,Åja,Aja,"Aja,Åja",60.483909999999995,12.54004,H,PND,NO,,34.0,3417.0,,,0,,330,Europe/Oslo,2019-12-12
120480,9150446,Amerika,Amerika,Amerika,58.13989,7.04885,T,ISL,NO,,42.0,4225.0,,,0,,2,Europe/Oslo,2019-12-12
159200,9223870,Amerika,Amerika,Amerika,58.810390000000005,8.65875,T,HLL,NO,,42.0,4217.0,,,0,,379,Europe/Oslo,2019-12-12
223827,9333225,Amerika,Amerika,Amerika,59.048159999999996,9.16131,H,PND,NO,,38.0,3815.0,,,0,,99,Europe/Oslo,2019-12-12
327420,9447662,Amerika,Amerika,Amerika,59.30978,10.474960000000001,S,FRM,NO,,38.0,3803.0,,,0,,35,Europe/Oslo,2019-12-12
413351,9571135,Amerika,Amerika,Amerika,63.231230000000004,8.76169,H,MRSH,NO,,8.0,1576.0,,,0,,560,Europe/Oslo,2014-09-18
458485,9652862,Amerika,Amerika,Amerika,58.89463000000001,9.17937,T,HLL,NO,,38.0,3814.0,,,0,,164,Europe/Oslo,2019-12-12
516993,9731136,Amerika,Amerika,Amerika,58.27475,8.26177,T,VAL,NO,,42.0,4216.0,,,0,,137,Europe/Oslo,2019-12-12
604718,12078317,Amerika,Amerika,Amerika,59.30978,10.474960000000001,S,HSE,NO,,38.0,3803.0,,,0,,38,Europe/Oslo,2019-12-14
204918,9314199,Ane Mariatjørna,Ane Mariatjorna,"Ane Mariatjorna,Ane Mariatjørna,Anemarjatjonnin,Anemarjatjønnin",64.35228000000001,12.15421,H,PND,NO,,21.0,5045.0,,,0,,540,Europe/Oslo,2018-05-08
600521,11722433,Anton Tschudis Vei,Anton Tschudis Vei,Anton Tschudis Vei,59.93414,10.8148,R,ST,NO,,12.0,301.0,,,0,,126,Europe/Oslo,2018-05-11
600522,11722434,Anton Schjøths Gate,Anton Schjoths Gate,"Anton Schjoths Gate,Anton Schjøths Gate",59.93029,10.7373,R,ST,NO,,12.0,301.0,,,0,,82,Europe/Oslo,2018-05-11
501115,9715238,Aslak,Aslak,Aslak,59.21079,10.48402,T,RK,NO,,38.0,3811.0,,,0,,-9999,Europe/Oslo,2019-12-12
539434,9753671,Aslak Gamslettdalen,Aslak Gamslettdalen,Aslak Gamslettdalen,70.45245,30.091759999999997,T,VAL,NO,,54.0,5443.0,,,0,,220,Europe/Oslo,2019-12-12
253372,9363739,Atter Solåsfjellet,Atter Solasfjellet,"Atter Solasfjellet,Atter Solåsfjellet",63.08211,8.895389999999999,T,HLL,NO,,8.0,1566.0,,,0,,370,Europe/Oslo,2014-08-15
462337,9656798,Atter Svartdalsrabben,Atter Svartdalsrabben,Atter Svartdalsrabben,63.00578,8.884089999999999,T,HLL,NO,,8.0,1566.0,,,0,,340,Europe/Oslo,2014-10-09
213094,9322411,Babylon,Babylon,"Babylon,Babylonvatnet",66.08064,12.53913,H,PND,NO,,9.0,1827.0,,,0,,80,Europe/Oslo,2014-08-14
37618,3161732,Bergen,Bergen,"BGO,Bargen,Berga,Bergen,Bergen (Hordaland Fylke),Bergena,Bergenas,Bergn,Bernken,Birgon,Bjoergvin,Björgvin,baragena,bargana,bei er gen,beleugen,bergeni,berugen,brghn,brgn,perkan,Μπέργκεν,Берген,ברגן,برغن,برگن,बार्गन,বারগেন,பேர்கன்,แบร์เกน,ბერგენი,ベルゲン,卑爾根,베르겐",60.392990000000005,5.32415,P,PPLA,NO,,46.0,4601.0,,,213585,,20,Europe/Oslo,2019-12-12
37619,3161733,Bergen,Bergen,"Bargen,Berga,Bergen,Bergen osh,Bergena,Bergenas,Bergens,Bergn,Bernken,Birgon,Bjoergvin,Björgvin,Gorad Bergen,baragena,bargana,bei er gen,beleugen,bergeni,berugen,brghn,brgn,perkan,Μπέργκεν,Берген,Берген ош,Горад Берген,Բերգեն,ברגן,برغن,برگن,बार्गन,বারগেন,பேர்கன்,แบร์เกน,ბერგენი,ベルゲン,卑爾根,베르겐",60.391999999999996,5.327999999999999,A,ADM2,NO,,46.0,4601.0,,,252051,,180,Europe/Oslo,2019-12-13
55501,8532381,Bergen domkirke,Bergen domkirke,"Bergen domkirke,Domkirken",60.393919999999994,5.33045,S,CH,NO,,46.0,4601.0,,,0,,180,Europe/Oslo,2019-12-12
158120,9222705,Bergen Station,Bergen Station,Bergen stasjon,60.39045,5.333130000000001,S,RSTN,NO,,46.0,4601.0,,,0,,7,Europe/Oslo,2019-12-12
342881,9463139,Bergen,Bergen,Bergen,59.61085,8.920910000000001,S,FRM,NO,,38.0,3819.0,,,0,,138,Europe/Oslo,2019-12-12
348664,9468926,Bergen no:,Bergen no:,"Bergen no:,Nordre Bergan,Nørdre Bergan",59.91398,9.39441,S,FRM,NO,,30.0,3050.0,,,0,,323,Europe/Oslo,2019-12-12
