,_name,country,postcode,_type,lat,lng,in
1,Arendal,Norway,4836,city,58.459640799999995,8.7666023,1
7,Argentina,Argentina,,country,-34.9964963,-64.9672817,1
17,Asker,Norway,,county,59.838578399999996,10.4577725,1
26,Aurdal,Norway,2910,village,60.924232700000005,9.4159418,1
30,Baku,Azerbaijan,,city,40.3754434,49.8326748,1
40,Balberg,Norway,2624,village,61.1556321,10.422768300000001,1
44,Bergen,Norway,,city,60.39430550000001,5.3259192,1
64,Bjærget,Denmark,,city,57.10547,8.99315,1
65,Bodø,Norway,8005,city,67.28394759999999,14.3825834,1
75,Bokhara,India,843333,county,26.3588905,85.6512634,1
90,Boston,USA,,city,42.3602534,-71.0582912,1
100,Breidablik,Norway,5701,farm,60.6110083,6.4209860999999995,1
116,Bygdø,Norway,0287,road,59.90715229999999,10.6796457,1
117,Chicago,USA,,city,41.875561600000005,-87.6244212,1
127,Christiania,Norway,0026,city,59.913330099999996,10.7389701,1
137,Danmark,Denmark,,country,55.670249,10.333328300000002,1
148,Drammen,Norway,3017,city,59.743674899999995,10.204374900000001,1
157,Drøbak,Norway,,city,59.6633333,10.631111099999998,1
163,Dubrovnik,Croatia,20000,city,42.6499651,18.093652,1
173,Egersund,Norway,4370,city,58.4518952,5.999996299999999,1
177,Elverum,Norway,2408,city,60.88296329999999,11.560238400000001,1
186,England,United Kingdom,,state,52.795479099999994,-0.5402403,1
196,Equador,Ecuador,,country,-1.3397668,-79.3666965,1
206,Europa,,,unknown,51.0,10.0,1
216,Finland,Finland,,country,63.2467777,25.9209164,1
236,Frankrike,France,,country,46.603353999999996,1.8883334999999999,1
255,Gjøvik,Norway,2815,city,60.7904113,10.6899329,1
262,Grand Hotel,Norway,0159,hotel,59.9138017,10.739527,1
269,Grimstad,Norway,4876,city,58.339907999999994,8.5911966,1
278,Grønland,Greenland,,country,77.61923490000001,-42.8125967,1
288,Hamarøy,Norway,,county,67.89099559999998,15.8881705,1
293,Hamsund,Norway,,city,68.10282,15.51958,1
294,Hannover,Germany,,city,52.374477899999995,9.738553199999998,1
304,Harrow,United Kingdom,,city,51.5967688,-0.3372752,1
333,Helsingfors,Finland,,city,60.1674098,24.9425769,1
340,Hørup,Denmark,7300,village,55.760856000000004,9.4675172,1
345,Indien,India,,country,22.3511148,78.6677428,1
350,Jerusalem,Israel,,city,31.778345,35.2250786,1
365,Kanada,Canada,,country,61.0666922,-107.9917071,1
375,Karl Johan,Norway,2312,road,60.7408056,11.153842,1
380,Kentucky,USA,,state,37.5726028,-85.1551411,1
391,Kongsberg,Norway,3613,city,59.6693196,9.6515097,1
401,Kristiansund,Norway,6509,city,63.115064600000004,7.733289900000001,1
406,København,Denmark,1357,city,55.6867243,12.5700724,1
410,Larvik,Norway,3256,city,59.053173,10.027182,1
417,Levanger,Norway,7600,city,63.74620329999999,11.2998629,1
422,Lillehammer,Norway,2609,city,61.114537899999995,10.4671034,1
429,Lillesand,Norway,4790,city,58.247994299999995,8.3775716,1
444,Lofoten,Norway,,county,68.47111,13.863610000000001,1
456,Mexico,Mexico,,country,22.5000485,-100.0000375,1
465,Minesota,USA,,state,45.98965870000001,-94.6113288,1
470,Minneapolis,USA,55415:55454,city,44.9772995,-93.2654692,1
478,Montana,USA,,state,47.3752671,-109.63875790000002,1
488,Moskva,Russia,,city,55.7504461,37.6174943,1
509,Natal,USA,,village,36.986807299999995,-79.2672444,1
528,New England,USA,,county,44.204820899999994,-70.7553862,1
