,_name,country,postcode,_type,lat,lng
0,Arendal,Norway,,county,58.4267301,8.9469491
1,Arendal,Norway,4836,city,58.459640799999995,8.7666023
2,Arendal,Sweden,,neighbourhood,57.7068827,11.835206800000002
3,Arendal,Sweden,457 91,village,58.7425345,11.275910099999999
4,Arendal,Norway,1747,farm,59.156559400000006,11.131137400000002
5,Arendal,Norway,4838,railway,58.46503539999999,8.7696417
6,Arendal,United Kingdom,NR9 3NQ,building,52.6162645,1.1955431
7,Argentina,Argentina,,country,-34.9964963,-64.9672817
8,Argentina,Colombia,66440,city,4.9153981,-75.79043829999999
9,Argentina,Colombia,,city,4.915435700000001,-75.7905601
10,Argentina,Colombia,,city,2.1985723,-75.97911540000001
11,Argentina,Colombia,,village,10.3153134,-73.2824943
12,Argentina,Brazil,,village,-3.7819879000000003,-62.396651799999994
13,Argentina,Peru,,village,-15.2776624,-74.2836595
14,Argentina,Ecuador,020201,village,-2.2350434,-79.08997540000001
15,Argentina,Colombia,,village,6.696424400000001,-74.69538759999999
16,Argentina,Colombia,,village,7.1827262,-74.535886
17,Asker,Norway,,county,59.838578399999996,10.4577725
18,Asker,Norway,1384,city,59.8352336,10.432975599999999
19,Asker,Norway,,county,59.5727831,10.524369199999999
20,Asker,Norway,,county,59.734298200000005,10.433893099999999
21,Asker,Sweden,,village,59.1489606,15.474376000000001
22,Asker,Kosovo,20520,road,42.3363285,20.7176707
23,Asker,Norway,1384,station,59.8334885,10.434479699999999
24,Asker,Norway,1384,railway,59.8331039,10.4337129
25,Asker,Norway,1388,railway,59.8330064,10.4339954
26,Aurdal,Norway,2910,village,60.924232700000005,9.4159418
27,Aurdal,Norway,5730,farm,60.581607,6.8874073000000005
28,Aurdal,Norway,5730,bus_stop,60.5815,6.883144000000001
29,Aurdal,Norway,5576,bus_stop,59.55935899999999,5.722217
30,Baku,Azerbaijan,,city,40.3754434,49.8326748
31,Baku,Azerbaijan,,state,40.1468838,49.6564179
32,Baku,Nepal,,city,27.5456392,86.73670820000001
33,Baku,DR Congo,,village,3.4113926,23.817091
34,Baku,RSA,,neighbourhood,-31.885,27.9283333
35,Baku,Spain,20500,village,43.062080200000004,-2.4688428
36,Baku,Russia,,peak,47.1145555,142.5042522
37,Baku,Montenegro,81103,road,42.4436446,19.2366397
38,Baku,Montenegro,81000,road,42.4421261,19.235390399999996
39,Baku,Ecuador,EC060150,road,-1.6814396,-78.6422175
40,Balberg,Norway,2624,village,61.1556321,10.422768300000001
41,Balberg,Norway,,farmyard,60.683001000000004,11.1688258
42,Balberg,Germany,,city,51.6269,6.34961
43,Berg Sanatorium,Bulgaria,8256,bus_stop,42.71152,27.735394300000003
44,Bergen,Norway,,city,60.39430550000001,5.3259192
45,Bergen,USA,,county,40.967834499999995,-74.0563254
46,Bergen,Belgium,,city,50.4549568,3.9519580000000003
47,Bergen,Netherlands,1861JZ,city,52.67022779999999,4.7011616
48,Bergen,Netherlands,,neighbourhood,52.6672571,4.6972235
49,Bergen,Netherlands,,village,51.6060195,6.057671400000001
50,Bergen,Germany,29303,city,52.8073915,9.9627795
51,Bergen,Germany,55608,city,49.7808936,7.417605900000001
52,Bergen,Germany,83346,city,47.806526399999996,12.5897834
53,Bergen,Czechia,69186,city,48.8522201,16.624422699999997
54,Berlin,Germany,10117,city,52.517036499999996,13.388859900000002
55,Berlin,Germany,,city,52.5069348,13.3974827
56,Berlin,USA,03570,city,44.469071,-71.185226
57,Berlin,USA,,city,44.2100759,-72.60340490000002
58,Berlin,USA,06037,city,41.621488,-72.74565190000001
59,Berlin,USA,,city,39.791226200000004,-74.9290536
60,Berlin,USA,01503,city,42.381204,-71.63701209999999
61,Berlin,USA,,city,38.3226154,-75.2176892
62,Berlin,USA,,city,43.9680365,-88.94344770000001
63,Berlin,USA,,city,39.9206363,-78.9578022
64,Bjærget,Denmark,,city,57.10547,8.99315
65,Bodø,Norway,8005,city,67.28394759999999,14.3825834
66,Bodø,Norway,,county,67.3094783,13.915442
67,Bodø,Argentina,,neighbourhood,-34.630251799999996,-58.41879
68,Bodø,Brazil,,city,-5.986610400000001,-36.4134824
69,Bodø,Romania,307006,village,45.8161583,21.885156600000002
70,Bodø,Finland,,city,60.178456000000004,25.451095499999997
71,Bodø,Finland,,city,59.910625,21.760492199999998
72,Bodø,Spain,,river,42.7919955,-4.5722746
73,Bodø,Spain,34480,river,42.7152096,-4.587628400000001
74,Bodø,Spain,34480,river,42.7534557,-4.5733288
