,ISO_3166-1_alpha-2,ISO_3166-1_alpha-3,_name,_type,administrative,aerodrome,allotments,archaeological_site,arts_centre,artwork,attraction,bakery,bar,bay,beach,building,bus_stop,cafe,canal,car_rental,chalet,city,city_district,clothes,commercial,community_centre,continent,convenience,country,country_code,county,county_code,cycleway,department_store,doctors,dry_cleaning,farm,farmyard,fast_food,ferry_terminal,florist,footway,fuel,garden,grave_yard,guest_house,hamlet,hardware,hostel,hotel,house,house_number,industrial,information,island,islet,lat,lng,local_administrative_area,locality,marina,memorial,mountain_pass,neighbourhood,path,peak,pedestrian,picnic_site,place_of_worship,political_union,postcode,pub,raceway,railway,recreation_ground,region,residential,restaurant,retail,river,road,road_type,sports_centre,stadium,state,state_code,state_district,station,stream,suburb,subway_entrance,supermarket,taxi,town,toys,travel_agency,university,unknown,viewpoint,village,water
0,NO,NOR,Arendal,county,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,East Agder,,,,,,,,,,,,,,,,,,,,,,,,,,58.4267301,8.9469491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NO,NOR,Arendal,city,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,East Agder,,,,,,,,,,,,,,,,,,,,,,,,,,58.4596408,8.7666023,,,,,,,,,,,,,4836,,,,,,,,,,,,,,,,,,,,,,,Arendal,,,,,,,
2,SE,SWE,Arendal,neighbourhood,,,,,,,,,,,,,,,,,,Gothenburg,Västra Hisingen,,,,Europe,,Sweden,se,Göteborg,,,,,,,,,,,,,,,,,,,,,,,,,,57.7068827,11.8352068,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Västra Götaland County,,,,,Arendal,,,,,,,,,,,
3,SE,SWE,Arendal,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Sweden,se,Tanum,,,,,,,,,,,,,,,,Knäm,,,,,,,,,,58.7425345,11.2759101,,Arendal,,,,,,,,,,European Union,457 91,,,,,,,,,,,,,,Västra Götaland County,,,,,,,,,,,,,,,,
4,NO,NOR,Arendal,farm,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Østfold,,,,,,Arendal,,,,,,,,,,Ullerøy,,,,,,,,,,59.1565594,11.1311374,,,,,,,,,,,,,1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NO,NOR,Arendal,railway,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,East Agder,,,,,,,,,,,,,,,,,,,,,,,,,,58.4650354,8.7696417,,,,,,Skytebanen,,,,,,,4838,,,Arendal,,,,,,,Møllebakken,,,,,,,,,Barbu,,,,Arendal,,,,,,,
6,GB,GBR,Arendal,building,,,,,,,,,,,,Arendal,,,,,,South Norfolk,,,,,Europe,,United Kingdom,gb,Norfolk,NFK,,,,,,,,,,,,,,,,,,,,3,,,,,52.6162645,1.1955431,,,,,,,,,,,,European Union,NR9 3NQ,,,,,,,,,,Braymeadow Lane,,,,England,ENG,East of England,,,Little Melton,,,,,,,,,,,
7,AR,ARG,Argentina,country,,,,,,,,,,,,,,,,,,,,,,,South America,,Argentina,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.9964963,-64.9672817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CO,COL,Argentina,city,,,,,,,,,,,,,,,,,,LA ARGENTINA,,,,,South America,,Colombia,co,Marsella,,,,,,,,,,,,,,,,,,,,,,,,,,4.9153981,-75.7904383,,,,,,,,,,,,,66440,,,,,,,,,,,,,,Risaralda,RIS,,,,,,,,,,,,,,,
9,CO,COL,Argentina,city,,,,,,,,,,,,,,,,,,La Argentina,,,,,South America,,Colombia,co,Marsella,,,,,,,,,,,,,,,,,,,,,,,,,,4.9154357,-75.7905601,,,,,,,,,,,,,,,,,,,,,,,,,,,Risaralda,RIS,,,,,,,,,,,,,,,
