,0
Amerika,493.0
Norge,276.0
England,206.0
Tyskland,173.0
Europa,123.0
Verden,98.0
Danmark,76.0
Christiania,62.0
Byen,52.0
København,50.0
Norden,48.0
Sverige,44.0
Bergen,41.0
Frankrike,40.0
Gaden,39.0
Jorden,39.0
Nordland,39.0
Grønland,39.0
Stortinget,35.0
Paris,30.0
Chicago,26.0
Minneapolis,26.0
Washington,26.0
Syden,24.0
Finland,24.0
Nørholmen,23.0
Belgien,22.0
Grimstad,20.0
Kanada,20.0
Havet,19.0
Italien,19.0
Boston,19.0
Rusland,19.0
Roma,18.0
Nationen,18.0
Østen,17.0
Tromsø,17.0
Egypten,16.0
Asien,15.0
Stavanger,15.0
Sveits,14.0
London,14.0
Hamarøy,14.0
Indien,14.0
Skandinavien,14.0
Marken,13.0
Lillesand,12.0
Larvik,12.0
Grand_Hotel,11.0
Dakota,10.0
Polen,9.0
Stockholm,9.0
Atlanterhavet,9.0
Ohio,8.0
Valdres,8.0
Sibir,7.0
Trondhjem,7.0
Afrika,7.0
Aurdal,7.0
Wisconsin,6.0
Spania,6.0
Kina,6.0
Nevada,5.0
Hardanger,5.0
Gudbrandsdalen,5.0
Grekenland,5.0
Lom,5.0
Berlin,5.0
Danzig,5.0
Drammen,4.0
Gaustad,4.0
Helsingfors,4.0
Wien,4.0
Gjørvik,4.0
Mexico,4.0
Orienten,4.0
Kansas,4.0
Suezkanalen,4.0
Saba,4.0
Fjell,4.0
Munchen,4.0
Segelfoss,3.0
Prærien,3.0
Ganges,3.0
Persien,3.0
Gjøvik,3.0
Skogen,3.0
Kentucky,3.0
Lillehammer,3.0
Kristiansund,3.0
Molde,3.0
Tyrkia,3.0
Jerusalem,3.0
Vestfjorden,3.0
Atlanta,2.0
Flandern,2.0
Harstad,2.0
Portugal,2.0
Fosenlandet,2.0
Haugesund,2.0
Småbyen,2.0
Landvik,2.0
Sarpsborg,2.0
Spitsbergen,2.0
Finmarken,2.0
Ungarn,2.0
Montana,2.0
Bodø,2.0
New_Zealand,2.0
New_Orleans,2.0
Dubrovnik,1.0
Bayern,1.0
Stokmarknes,1.0
California,1.0
Bygdø,1.0
Australien,1.0
Baltimore,1.0
Vladikaukas,1.0
Hornbæk,1.0
Elverum,1.0
Guinea,1.0
Japan,1.0
Judea,1.0
Kongsberg,1.0
Hannover,1.0
Hamsund,1.0
Lofoten,1.0
Hammerfest,1.0
Haag,1.0
Marseille,1.0
Moskva,1.0
Serbien,1.0
Narvik,1.0
Niam-Niam,1.0
Ostende,1.0
Gaarden,1.0
Holmestrand,1.0
Peru,1.0
Petersburg,1.0
Quebec,1.0
Sellanraa,1.0
Pennsylvania,1.0
